movie_name,genre,year,rating
We Still Steal the Old Way, Crime,2017,4.9
Camera Store, Crime,2017,4.9
Smart Christmas, Crime,2017,4.9
Suicide Squad, Crime,2017,4.9
Fantastic Beasts and Where to Find Them, Crime,2017,4.9
Hush, Crime,2017,4.9
Split, Crime,2017,4.9
Sing, Crime,2017,4.9
Deadpool, Crime,2017,4.9
X-Men: Apocalypse, Crime,2017,4.9
10 Cloverfield Lane, Crime,2017,4.9
La La Land, Crime,2017,4.9
Batman v Superman: Dawn of Justice, Crime,2017,4.9
Passengers, Crime,2017,4.9
Nocturnal Animals, Crime,2017,4.9
Moana, Crime,2017,4.9
Don't Breathe, Crime,2017,4.9
Terrifier, Crime,2017,4.9
Arrival, Crime,2017,4.9
Ouija: Origin of Evil, Crime,2017,4.9
Me Before You, Crime,2017,4.9
Doctor Strange, Crime,2017,4.9
Captain America: Civil War, Crime,2017,4.9
The Conjuring 2, Crime,2017,4.9
Rogue One, Crime,2017,4.9
The Girl on the Train, Crime,2017,4.9
Hacksaw Ridge, Crime,2017,4.9
Ghostbusters, Crime,2017,4.9
Sausage Party, Crime,2017,4.9
Independence Day: Resurgence, Crime,2017,4.9
The Legend of Tarzan, Crime,2017,4.9
The Magnificent Seven, Crime,2017,4.9
13 Hours, Crime,2017,4.9
Star Trek: Beyond, Crime,2017,4.9
Now You See Me 2, Crime,2017,4.9
Moonlight, Crime,2017,4.9
Captain Fantastic, Crime,2017,4.9
War Dogs, Crime,2017,4.9
Inferno, Crime,2017,4.9
The Purge: Election Year, Crime,2017,4.9
Kimi no na wa., Crime,2017,4.9
Zootopia, Crime,2017,4.9
Miss Peregrine's Home for Peculiar Children, Crime,2017,4.9
The Boy, Crime,2017,4.9
Hell or High Water, Crime,2017,4.9
The Secret Life of Pets, Crime,2017,4.9
Trolls, Crime,2017,4.9
Lights Out, Crime,2017,4.9
Manchester by the Sea, Crime,2017,4.9
Free State of Jones, Crime,2017,4.9
The Trust,Crime,2016,5.4
King Cobra,Crime,2016,5.4
The Good Neighbor,Crime,2016,5.4
Hounds of Love,Crime,2016,5.4
Hot,Crime,2016,5.4
Branagh Theatre Live: Romeo and Juliet,Crime,2016,5.4
20th Century Women,Crime,2016,5.4
The Siege of Jadotville,Crime,2016,5.4
Miracles from Heaven,Crime,2016,5.4
