movie_name,genre,year,rating
A Cure for Wellness,Drama,2016,6.4
Busanhaeng,Drama,2016,6.4
The Bad Batch,Drama,2016,6.4
Warcraft,Drama,2016,6.4
Contratiempo,Drama,2016,6.4
Hidden Figures,Drama,2016,6.4
Ah-ga-ssi,Drama,2016,6.4
The Neon Demon,Drama,2016,6.4
Before I Wake,Drama,2016,6.4
Bad Moms,Drama,2016,6.4
Pride and Prejudice and Zombies,Drama,2016,6.4
Jack Reacher: Never Go Back,Drama,2016,6.4
The Accountant,Drama,2016,6.4
Sully,Drama,2016,6.4
The Nice Guys,Drama,2016,6.4
Underworld: Blood Wars,Drama,2016,6.4
Lion,Drama,2016,6.4
Sadie,Drama,2016,6.4
Jason Bourne,Drama,2016,6.4
Below Her Mouth,Drama,2016,6.4
Snowden,Drama,2016,6.4
Gods of Egypt,Drama,2016,6.4
The Thinning,Drama,2016,6.4
Silence,Drama,2016,6.4
The Jungle Book,Drama,2016,6.4
31,Drama,2016,6.4
Headshot,Drama,2016,6.4
Allied,Drama,2016,6.4
The Shallows,Drama,2016,6.4
Assassin's Creed,Drama,2016,6.4
The Lost City of Z,Drama,2016,6.4
The Autopsy of Jane Doe,Drama,2016,6.4
Resident Evil: The Final Chapter,Drama,2016,6.4
Grave,Drama,2016,6.4
Nerve,Drama,2016,6.4
Gold,Drama,2016,6.4
London Has Fallen,Drama,2016,6.4
Deepwater Horizon,Drama,2016,6.4
The Great Wall,Drama,2016,6.4
The Huntsman: Winter's War,Drama,2016,6.4
The Edge of Seventeen,Drama,2016,6.4
Central Intelligence,Drama,2016,6.4
Hunt for the Wilderpeople,Drama,2016,6.4
Office Christmas Party,Drama,2016,6.4
Teenage Mutant Ninja Turtles: Out of the Shadows,Drama,2016,6.4
Patriots Day,Drama,2016,6.4
Neighbors 2: Sorority Rising,Drama,2016,6.4
Fallen,Drama,2016,6.4
Morgan,Drama,2016,6.4
Fences,Drama,2016,6.4
The Founder, Drama,2016,7.2
How to Be Single, Drama,2016,7.2
Blair Witch, Drama,2016,7.2
Allegiant, Drama,2016,7.2
The Choice, Drama,2016,7.2
Swiss Army Man, Drama,2016,7.2
Brimstone, Drama,2016,7.2
All I See Is You, Drama,2016,7.2
The 5th Wave, Drama,2016,7.2
The Girl with All the Gifts, Drama,2016,7.2
Keeping Up with the Joneses, Drama,2016,7.2
Gok-seong, Drama,2016,7.2
Mechanic: Resurrection, Drama,2016,7.2
The Belko Experiment, Drama,2016,7.2
Dangal, Drama,2016,7.2
Live by Night, Drama,2016,7.2
True Crimes, Drama,2016,7.2
Collateral Beauty, Drama,2016,7.2
The Light Between Oceans, Drama,2016,7.2
Bridget Jones's Baby, Drama,2016,7.2
Dirty Grandpa, Drama,2016,7.2
Hail, Caesar!, Drama,2016,7.2
Finding Dory, Drama,2016,7.2
Mike and Dave Need Wedding Dates, Drama,2016,7.2
Miss Sloane, Drama,2016,7.2
The Love Witch, Drama,2016,7.2
Criminal, Drama,2016,7.2
Goat, Drama,2016,7.2
Alice Through the Looking Glass, Drama,2016,7.2
American Honey, Drama,2016,7.2
Anthropoid, Drama,2016,7.2
Free Fire, Drama,2016,7.2
Everybody Wants Some!!, Drama,2016,7.2
Spectral, Drama,2016,7.2
Why Him?, Drama,2016,7.2
The Promise, Drama,2016,7.2
I Am the Pretty Thing That Lives in the House, Drama,2016,7.2
Bastille Day, Drama,2016,7.2
Friend Request, Drama,2016,7.2
Paterson, Drama,2016,7.2
Masterminds, Drama,2016,7.2
Popstar: Never Stop Never Stopping, Drama,2016,7.2
Perfetti sconosciuti, Drama,2016,7.2
The Void, Drama,2016,7.2
A Hologram for the King, Drama,2016,7.2
Kubo and the Two Strings, Drama,2016,7.2
Better Watch Out, Drama,2016,7.2
Colossal, Drama,2016,7.2
Ben-Hur, Drama,2016,7.2
Mother's Day, Drama,2016,7.2
Florence Foster Jenkins, Drama,2016,6.8
Jackie, Drama,2016,6.8
Boo! A Madea Halloween, Drama,2016,6.8
White Girl, Drama,2016,6.8
Sing Street, Drama,2016,6.8
A Monster Calls, Drama,2016,6.8
Money Monster, Drama,2016,6.8
Mashina lyubvi, Drama,2016,6.8
Holidays, Drama,2016,6.8
The Do-Over, Drama,2016,6.8
Ice Age: Collision Course, Drama,2016,6.8
Triple 9, Drama,2016,6.8
Personal Shopper, Drama,2016,6.8
Grimsby, Drama,2016,6.8
The Secret Scripture, Drama,2016,6.8
Brain on Fire, Drama,2016,6.8
Elle, Drama,2016,6.8
Café Society, Drama,2016,6.8
Storks, Drama,2016,6.8
Ballerina, Drama,2016,6.8
Kung Fu Panda 3, Drama,2016,6.8
Zoolander 2, Drama,2016,6.8
Pete's Dragon, Drama,2016,6.8
