movie_name,genre,year,rating
A Cure for Wellness, Horror,2016,6.4
Busanhaeng, Horror,2016,6.4
The Bad Batch, Horror,2016,6.4
Warcraft, Horror,2016,6.4
Contratiempo, Horror,2016,6.4
Hidden Figures, Horror,2016,6.4
Ah-ga-ssi, Horror,2016,6.4
The Neon Demon, Horror,2016,6.4
Before I Wake, Horror,2016,6.4
Bad Moms, Horror,2016,6.4
Pride and Prejudice and Zombies, Horror,2016,6.4
Jack Reacher: Never Go Back, Horror,2016,6.4
The Accountant, Horror,2016,6.4
Sully, Horror,2016,6.4
The Nice Guys, Horror,2016,6.4
Underworld: Blood Wars, Horror,2016,6.4
Lion, Horror,2016,6.4
Sadie, Horror,2016,6.4
Jason Bourne, Horror,2016,6.4
Below Her Mouth, Horror,2016,6.4
Snowden, Horror,2016,6.4
Gods of Egypt, Horror,2016,6.4
The Thinning, Horror,2016,6.4
Silence, Horror,2016,6.4
The Jungle Book, Horror,2016,6.4
31, Horror,2016,6.4
Headshot, Horror,2016,6.4
Allied, Horror,2016,6.4
The Shallows, Horror,2016,6.4
Assassin's Creed, Horror,2016,6.4
The Lost City of Z, Horror,2016,6.4
The Autopsy of Jane Doe, Horror,2016,6.4
Resident Evil: The Final Chapter, Horror,2016,6.4
Grave, Horror,2016,6.4
Nerve, Horror,2016,6.4
Gold, Horror,2016,6.4
London Has Fallen, Horror,2016,6.4
Deepwater Horizon, Horror,2016,6.4
The Great Wall, Horror,2016,6.4
The Huntsman: Winter's War, Horror,2016,6.4
The Edge of Seventeen, Horror,2016,6.4
Central Intelligence, Horror,2016,6.4
Hunt for the Wilderpeople, Horror,2016,6.4
Office Christmas Party, Horror,2016,6.4
Teenage Mutant Ninja Turtles: Out of the Shadows, Horror,2016,6.4
Patriots Day, Horror,2016,6.4
Neighbors 2: Sorority Rising, Horror,2016,6.4
Fallen, Horror,2016,6.4
Morgan, Horror,2016,6.4
Fences, Horror,2016,6.4
Kill Command, Horror,2016,5.7
Daylight's End, Horror,2016,5.7
Precious Cargo, Horror,2016,5.7
Mascots, Horror,2016,5.7
Code of Honor, Horror,2016,5.7
All At Once, Horror,2016,5.7
Don't Think Twice, Horror,2016,5.7
Birkebeinerne, Horror,2016,5.7
The Drowning, Horror,2016,5.7
The Charnel House, Horror,2016,5.7
Bonjour Anne, Horror,2016,5.7
The Veil, Horror,2016,5.7
Tarde para la ira, Horror,2016,5.7
Taekwondo, Horror,2016,5.7
Mindhorn, Horror,2016,5.7
Al final del túnel, Horror,2016,5.7
Udta Punjab, Horror,2016,5.7
Trapped, Horror,2016,5.7
The Neighbor, Horror,2016,5.7
The Master Cleanse, Horror,2016,5.7
Frantz, Horror,2016,5.7
High Strung, Horror,2016,5.7
Undrafted, Horror,2016,5.7
Gehenna: Where Death Lives, Horror,2016,5.7
#Screamers, Horror,2016,5.7
Sanam Teri Kasam, Horror,2016,5.7
Five Nights at Freddy's 4 the Movie, Horror,2016,5.7
Girl in the Box, Horror,2016,5.7
O Ornitólogo, Horror,2016,5.7
Iris, Horror,2016,5.7
Absolutely Fabulous: The Movie, Horror,2016,5.7
Tenemos la carne, Horror,2016,5.7
Maximum Ride, Horror,2016,5.7
Sacrifice, Horror,2016,5.7
Attack of the Killer Donuts, Horror,2016,5.7
Shelley, Horror,2016,5.7
Complete Unknown, Horror,2016,5.7
Bleed, Horror,2016,5.7
Phantasm: Ravager, Horror,2016,5.7
Airlift, Horror,2016,5.7
Kono sekai no katasumi ni, Horror,2016,5.7
Country Crush, Horror,2016,5.7
Wiener-Dog, Horror,2016,5.7
Term Life, Horror,2016,5.7
Kongens nei, Horror,2016,5.7
London Town, Horror,2016,5.7
Barry, Horror,2016,5.7
Hjartasteinn, Horror,2016,5.7
The Late Bloomer, Horror,2016,5.7
Orpheline, Horror,2016,5.7
Minutes Past Midnight,Horror,2016,5.1
Der kommer en dag,Horror,2016,5.1
Toro,Horror,2016,5.1
Indivisibili,Horror,2016,5.1
Mythica: The Godslayer,Horror,2016,5.1
Mastizaade,Horror,2016,5.1
Abattoir,Horror,2016,5.1
Little Mermaid,Horror,2016,5.1
Contract to Kill,Horror,2016,5.1
Monolith,Horror,2016,5.1
Alleluia! The Devil's Carnival,Horror,2016,5.1
Service to Man,Horror,2016,5.1
Au nom de ma fille,Horror,2016,5.1
The Exorcism of Anna Ecklund,Horror,2016,5.1
Showdown in Manila,Horror,2016,5.1
Between Us,Horror,2016,5.1
The Wedding Party,Horror,2016,5.1
Away,Horror,2016,5.1
The Stranger Inside,Horror,2016,5.1
Shigatsu wa kimi no uso,Horror,2016,5.1
Are We Not Cats,Horror,2016,5.1
Morris from America,Horror,2016,5.1
ToY,Horror,2016,5.1
Automatic at Sea,Horror,2016,5.1
Back in the Day,Horror,2016,5.1
1920 London,Horror,2016,5.1
Baar Baar Dekho,Horror,2016,5.1
Level Up,Horror,2016,5.1
Apprentice,Horror,2016,5.1
Dickshark,Horror,2016,5.1
Tini: El gran cambio de Violetta,Horror,2016,5.1
Pushing Dead,Horror,2016,5.1
Kóblic,Horror,2016,5.1
The Unseen,Horror,2016,5.1
Willkommen bei den Hartmanns,Horror,2016,5.1
Swing Away,Horror,2016,5.1
Madtown,Horror,2016,5.1
Pitchfork,Horror,2016,5.1
Nerdland,Horror,2016,5.1
Han zhan II,Horror,2016,5.1
Bodom,Horror,2016,5.1
Milton's Secret,Horror,2016,5.1
Paint It Black,Horror,2016,5.1
Spark: A Space Tail,Horror,2016,5.1
Brahman Naman,Horror,2016,5.1
La corona partida,Horror,2016,5.1
Virtual Revolution,Horror,2016,5.1
Crossing Point,Horror,2016,5.1
Golden Years,Horror,2016,5.1
The Ghoul,Horror,2016,5.1
The Obsidian Curse,Horror,2016,3.6
Killer Assistant,Horror,2016,3.6
Sarbjit,Horror,2016,3.6
Shared Rooms,Horror,2016,3.6
Befikre,Horror,2016,3.6
The Amityville Terror,Horror,2016,3.6
Shepherds and Butchers,Horror,2016,3.6
Hotel Salvation,Horror,2016,3.6
Found Footage 3D,Horror,2016,3.6
Bed of the Dead,Horror,2016,3.6
Buddymoon,Horror,2016,3.6
#Pellichoopulu,Horror,2016,3.6
It Watches,Horror,2016,3.6
The Misfortunes of François Jane,Horror,2016,3.6
2 Jennifer,Horror,2016,3.6
Slash,Horror,2016,3.6
Candiland,Horror,2016,3.6
Dreamland,Horror,2016,3.6
Cyborg X,Horror,2016,3.6
Layla M.,Horror,2016,3.6
Wazir,Horror,2016,3.6
The Man Who Was Thursday,Horror,2016,3.6
Kill Ratio,Horror,2016,3.6
The Offering,Horror,2016,3.6
The Weekend Movie,Horror,2016,3.6
Out of Control,Horror,2016,3.6
Inseparables,Horror,2016,3.6
See You Tomorrow,Horror,2016,3.6
Tommy's Honour,Horror,2016,3.6
Chosen,Horror,2016,3.6
The Levelling,Horror,2016,3.6
Veloce come il vento,Horror,2016,3.6
Hart Beat,Horror,2016,3.6
La vida inmoral de la pareja ideal,Horror,2016,3.6
Mais Forte que o Mundo: A História de José Aldo,Horror,2016,3.6
The Girl,Horror,2016,3.6
Love & Coffee,Horror,2016,3.6
The Perfect Weapon,Horror,2016,3.6
New Life,Horror,2016,3.6
Sam Was Here,Horror,2016,3.6
Better Off Single,Horror,2016,3.6
Il a déjà tes yeux,Horror,2016,3.6
Den allvarsamma leken,Horror,2016,3.6
Madre,Horror,2016,3.6
Grandma's House,Horror,2016,3.6
Recovery,Horror,2016,3.6
Tereddüt,Horror,2016,3.6
Ada Apa dengan Cinta? 2,Horror,2016,3.6
Lost Creek,Horror,2016,3.6
Wei wei yi xiao hen qing cheng,Horror,2016,3.6
Cruel Summer, Horror,2016,5.4
