Age,Conference,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Weight,Real_value
29,,"Apr 14, 1985",1978,6-5,Micheal Ray Richardson,PG,1984-1985,1985,6,New Jersey Nets,189,1.0
23,,"Apr 7, 1985",1982,6-6,Derek Smith,SG,1984-1985,1985,2,Los Angeles Clippers,205,1.0
28,,"Apr 1, 1985",1979,6-6,Calvin Natt,F,1984-1985,1985,5,Denver Nuggets,220,1.0
37,,"Mar 24, 1985",1969,7-2,Kareem Abdul-Jabbar,C,1984-1985,1985,15,Los Angeles Lakers,225,1.0
28,,"Mar 17, 1985",1978,6-9,Larry Bird,SF,1984-1985,1985,5,Boston Celtics,220,1.0
26,,"Mar 10, 1985",1980,6-4,Darrell Griffith,SG,1984-1985,1985,4,Utah Jazz,190,1.0
24,,"Mar 3, 1985",1982,6-3,Sleepy Floyd,PG,1984-1985,1985,2,Golden State Warriors,170,1.0
25,,"Feb 24, 1985",1981,6-6,Mark Aguirre,SF,1984-1985,1985,3,Dallas Mavericks,232,1.0
25,,"Feb 17, 1985",1979,6-9,Magic Johnson,PG,1984-1985,1985,5,Los Angeles Lakers,255,1.0
25,,"Feb 3, 1985",1982,6-7,Dominique Wilkins,SF,1984-1985,1985,2,Atlanta Hawks,200,1.0
32,,"Jan 27, 1985",1974,6-11,Tom McMillen,PF,1984-1985,1985,9,Washington Bullets,215,1.0
22,,"Jan 20, 1985",1984,6-6,Michael Jordan,SG,1984-1985,1985,0,Chicago Bulls,215,1.0
31,,"Jan 13, 1985",1975,6-2,World B. Free,G,1984-1985,1985,9,Cleveland Cavaliers,185,1.0
23,,"Jan 6, 1985",1981,6-1,Isiah Thomas,PG,1984-1985,1985,3,Detroit Pistons,180,1.0
29,,"Dec 30, 1984",1978,6-5,Micheal Ray Richardson,PG,1984-1985,1985,6,New Jersey Nets,189,1.0
23,,"Dec 23, 1984",1982,6-9,Terry Cummings,PF,1984-1985,1985,2,Milwaukee Bucks,220,1.0
23,,"Dec 16, 1984",1982,6-6,Derek Smith,SG,1984-1985,1985,2,Los Angeles Clippers,205,1.0
25,,"Dec 9, 1984",1981,6-9,Orlando Woolridge,PF,1984-1985,1985,3,Chicago Bulls,215,1.0
29,,"Dec 2, 1984",1977,6-11,Jack Sikma,C,1984-1985,1985,7,Seattle SuperSonics,230,1.0
28,,"Nov 25, 1984",1977,6-7,Bernard King,SF,1984-1985,1985,7,New York Knicks,205,1.0
29,,"Nov 18, 1984",1976,6-10,Moses Malone,C,1984-1985,1985,8,Philadelphia Sixers,215,1.0
31,,"Nov 11, 1984",1976,6-7,Alex English,SF,1984-1985,1985,8,Denver Nuggets,190,1.0
26,,"Nov 4, 1984",1981,6-10,Larry Nance,PF,1984-1985,1985,3,Phoenix Suns,205,1.0
26,,"Apr 13, 1986",1982,6-7,Dominique Wilkins,SF,1985-1986,1986,3,Atlanta Hawks,200,1.0
28,,"Apr 6, 1986",1981,6-10,Herb Williams,C,1985-1986,1986,4,Indiana Pacers,242,1.0
23,,"Mar 30, 1986",1984,6-6,Charles Barkley,PF,1985-1986,1986,1,Philadelphia Sixers,252,1.0
30,,"Mar 23, 1986",1976,6-5,Adrian Dantley,SF,1985-1986,1986,9,Utah Jazz,208,1.0
29,,"Mar 16, 1986",1978,6-9,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,220,1.0
26,,"Mar 9, 1986",1979,6-9,Magic Johnson,PG,1985-1986,1986,6,Los Angeles Lakers,255,1.0
23,,"Mar 2, 1986",1984,6-6,Charles Barkley,PF,1985-1986,1986,1,Philadelphia Sixers,252,1.0
28,,"Feb 23, 1986",1979,6-3,Sidney Moncrief,SG,1985-1986,1986,6,Milwaukee Bucks,180,1.0
29,,"Feb 16, 1986",1978,6-9,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,220,1.0
32,,"Feb 2, 1986",1976,6-7,Alex English,SF,1985-1986,1986,9,Denver Nuggets,190,1.0
23,,"Jan 26, 1986",1984,6-6,Charles Barkley,PF,1985-1986,1986,1,Philadelphia Sixers,252,1.0
29,,"Jan 19, 1986",1978,6-9,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,220,1.0
29,,"Jan 12, 1986",1979,6-6,Calvin Natt,F,1985-1986,1986,6,Denver Nuggets,220,1.0
23,,"Jan 5, 1986",1983,6-7,Clyde Drexler,SG,1985-1986,1986,2,Portland Trail Blazers,210,1.0
26,,"Dec 29, 1985",1982,6-7,Dominique Wilkins,SF,1985-1986,1986,3,Atlanta Hawks,200,1.0
27,,"Dec 22, 1985",1981,6-10,Larry Nance,PF,1985-1986,1986,4,Phoenix Suns,205,1.0
23,,"Dec 15, 1985",1984,6-3,Alvin Robertson,SG,1985-1986,1986,1,San Antonio Spurs,185,1.0
27,,"Dec 8, 1985",1980,6-10,Jeff Ruland,C,1985-1986,1986,4,Washington Bullets,240,1.0
29,,"Dec 1, 1985",1978,6-9,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,220,1.0
32,,"Nov 24, 1985",1976,6-7,Alex English,SF,1985-1986,1986,9,Denver Nuggets,190,1.0
23,,"Nov 17, 1985",1985,7-0,Patrick Ewing,C,1985-1986,1986,0,New York Knicks,240,1.0
25,,"Nov 10, 1985",1981,6-8,Buck Williams,PF,1985-1986,1986,4,New Jersey Nets,215,1.0
24,,"Nov 3, 1985",1982,6-6,Derek Smith,SG,1985-1986,1986,3,Los Angeles Clippers,205,1.0
37,,"Apr 19, 1987",1972,6-6,Julius Erving,SF,1986-1987,1987,14,Philadelphia Sixers,200,1.0
24,,"Apr 12, 1987",1984,6-6,Michael Jordan,SG,1986-1987,1987,2,Chicago Bulls,215,1.0
27,,"Apr 5, 1987",1979,6-9,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1.0
29,,"Mar 29, 1987",1980,6-8,Larry Smith,PF,1986-1987,1987,6,Golden State Warriors,215,1.0
27,,"Mar 22, 1987",1979,6-9,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1.0
23,,"Mar 15, 1987",1985,6-9,Karl Malone,PF,1986-1987,1987,1,Utah Jazz,265,1.0
27,,"Mar 8, 1987",1979,6-9,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1.0
24,,"Mar 1, 1987",1984,6-6,Michael Jordan,SG,1986-1987,1987,2,Chicago Bulls,215,1.0
31,,"Feb 22, 1987",1976,6-10,Moses Malone,C,1986-1987,1987,10,Washington Bullets,215,1.0
27,,"Feb 15, 1987",1979,6-9,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1.0
26,,"Feb 1, 1987",1982,6-3,Fat Lever,PG,1986-1987,1987,4,Denver Nuggets,170,1.0
33,,"Jan 25, 1987",1976,6-7,Alex English,SF,1986-1987,1987,10,Denver Nuggets,190,1.0
24,,"Jan 18, 1987",1984,6-9,Otis Thorpe,PF,1986-1987,1987,2,Sacramento Kings,225,1.0
25,,"Jan 11, 1987",1981,6-1,Isiah Thomas,PG,1986-1987,1987,5,Detroit Pistons,180,1.0
30,,"Jan 4, 1987",1978,6-9,Larry Bird,SF,1986-1987,1987,7,Boston Celtics,220,1.0
24,,"Dec 28, 1986",1985,7-0,Patrick Ewing,C,1986-1987,1987,1,New York Knicks,240,1.0
27,,"Dec 21, 1986",1979,6-9,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1.0
27,,"Dec 14, 1986",1982,6-7,Dominique Wilkins,SF,1986-1987,1987,4,Atlanta Hawks,200,1.0
27,,"Dec 7, 1986",1981,6-10,Tom Chambers,PF,1986-1987,1987,5,Seattle SuperSonics,220,1.0
24,,"Nov 30, 1986",1985,6-11,Hot Rod Williams,FC,1986-1987,1987,0,Cleveland Cavaliers,215,1.0
24,,"Nov 23, 1986",1984,6-3,Alvin Robertson,SG,1986-1987,1987,2,San Antonio Spurs,185,1.0
33,,"Nov 16, 1986",1976,7-0,Robert Parish,C,1986-1987,1987,9,Boston Celtics,230,1.0
24,,"Nov 9, 1986",1984,6-6,Michael Jordan,SG,1986-1987,1987,2,Chicago Bulls,215,1.0
24,,"Apr 24, 1988",1985,6-9,Karl Malone,PF,1987-1988,1988,2,Utah Jazz,265,1.0
27,,"Apr 17, 1988",1982,6-3,Fat Lever,PG,1987-1988,1988,5,Denver Nuggets,170,1.0
24,,"Apr 10, 1988",1986,6-7,Harold Pressley,GF,1987-1988,1988,1,Sacramento Kings,210,1.0
25,,"Apr 3, 1988",1984,6-6,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,215,1.0
25,,"Mar 27, 1988",1984,6-6,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,215,1.0
25,,"Mar 20, 1988",1984,6-6,Charles Barkley,PF,1987-1988,1988,3,Philadelphia Sixers,252,1.0
25,,"Mar 13, 1988",1983,6-7,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,210,1.0
27,,"Mar 6, 1988",1983,6-6,Bobby Hansen,SG,1987-1988,1988,4,Utah Jazz,190,1.0
23,,"Feb 28, 1988",1986,6-11,Roy Tarpley,PF,1987-1988,1988,1,Dallas Mavericks,230,1.0
25,,"Feb 21, 1988",1984,6-1,John Stockton,PG,1987-1988,1988,3,Utah Jazz,170,1.0
28,,"Feb 14, 1988",1982,6-7,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,200,1.0
31,,"Jan 31, 1988",1977,6-7,Bernard King,SF,1987-1988,1988,10,Washington Bullets,205,1.0
25,,"Jan 24, 1988",1984,6-6,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,215,1.0
